Name                  Type        Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
/1/Sigmoid_1          Sigmoid     3,360           0.01%       420         0.00%       0         0.00%       1x105x1x1    1x105x1x1
/1/Mul_5              Mul         26,880          0.07%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/Conv_4             Conv        868,352         2.23%       46,336      0.26%       3,392     0.76%       1x105x16x16  1x32x16x16
/2/conv/0/Conv        Conv        811,008         2.08%       110,976     0.62%       3,168     0.71%       1x32x16x16   1x96x16x16
/2/conv/2/Div         Div         98,304          0.25%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/2/Erf         Erf         0               0.00%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/2/Add         Add         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/2/Mul         Mul         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/2/Mul_1       Mul         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/3/Conv        Conv        638,976         1.64%       108,288     0.61%       2,496     0.56%       1x96x16x16   1x96x16x16
/2/conv/5/Div         Div         98,304          0.25%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/5/Erf         Erf         0               0.00%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/5/Add         Add         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/5/Mul         Mul         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/5/Mul_1       Mul         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/6/ReduceMean  ReduceMean  24,576          0.06%       384         0.00%       0         0.00%       1x96x16x16   1x96x1x1
/2/conv/6/Conv        Conv        1,746           0.00%       7,056       0.04%       1,746     0.39%       1x96x1x1     1x18x1x1
/2/conv/6/Sigmoid     Sigmoid     576             0.00%       72          0.00%       0         0.00%       1x18x1x1     1x18x1x1
/2/conv/6/Mul         Mul         18              0.00%       72          0.00%       0         0.00%       1x18x1x1     1x18x1x1
/2/conv/6/Conv_1      Conv        1,824           0.00%       7,680       0.04%       1,824     0.41%       1x18x1x1     1x96x1x1
/2/conv/6/Sigmoid_1   Sigmoid     3,072           0.01%       384         0.00%       0         0.00%       1x96x1x1     1x96x1x1
/2/conv/6/Mul_1       Mul         24,576          0.06%       98,304      0.55%       0         0.00%       1x96x16x16   1x96x16x16
/2/conv/7/Conv        Conv        794,624         2.04%       45,184      0.25%       3,104     0.70%       1x96x16x16   1x32x16x16
/2/Add                Add         8,192           0.02%       32,768      0.18%       0         0.00%       1x32x16x16   1x32x16x16
/3/Conv               Conv        1,892,352       4.86%       258,944     1.45%       7,392     1.66%       1x32x16x16   1x224x16x16
/3/Div                Div         229,376         0.59%       229,376     1.28%       0         0.00%       1x224x16x16  1x224x16x16
/3/Erf                Erf         0               0.00%       229,376     1.28%       0         0.00%       1x224x16x16  1x224x16x16
/3/Add                Add         57,344          0.15%       229,376     1.28%       0         0.00%       1x224x16x16  1x224x16x16
/3/Mul                Mul         57,344          0.15%       229,376     1.28%       0         0.00%       1x224x16x16  1x224x16x16
/3/Mul_1              Mul         57,344          0.15%       229,376     1.28%       0         0.00%       1x224x16x16  1x224x16x16
/3/Conv_1             Conv        372,736         0.96%       80,640      0.45%       5,824     1.31%       1x224x16x16  1x224x8x8
/3/Div_1              Div         57,344          0.15%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/Erf_1              Erf         0               0.00%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/Add_1              Add         14,336          0.04%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/Mul_2              Mul         14,336          0.04%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/Mul_3              Mul         14,336          0.04%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/ReduceMean         ReduceMean  14,336          0.04%       896         0.01%       0         0.00%       1x224x8x8    1x224x1x1
/3/Conv_2             Conv        2,700           0.01%       10,848      0.06%       2,700     0.61%       1x224x1x1    1x12x1x1
/3/Sigmoid            Sigmoid     384             0.00%       48          0.00%       0         0.00%       1x12x1x1     1x12x1x1
/3/Mul_4              Mul         12              0.00%       48          0.00%       0         0.00%       1x12x1x1     1x12x1x1
/3/Conv_3             Conv        2,912           0.01%       12,544      0.07%       2,912     0.65%       1x12x1x1     1x224x1x1
/3/Sigmoid_1          Sigmoid     7,168           0.02%       896         0.01%       0         0.00%       1x224x1x1    1x224x1x1
/3/Mul_5              Mul         14,336          0.04%       57,344      0.32%       0         0.00%       1x224x8x8    1x224x8x8
/3/Conv_4             Conv        921,600         2.37%       73,984      0.41%       14,400    3.23%       1x224x8x8    1x64x8x8
/4/conv/0/Conv        Conv        1,331,200       3.42%       165,120     0.92%       20,800    4.67%       1x64x8x8     1x320x8x8
/4/conv/2/Div         Div         81,920          0.21%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/2/Erf         Erf         0               0.00%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/2/Add         Add         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/2/Mul         Mul         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/2/Mul_1       Mul         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/3/Conv        Conv        532,480         1.37%       115,200     0.65%       8,320     1.87%       1x320x8x8    1x320x8x8
/4/conv/5/Div         Div         81,920          0.21%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/5/Erf         Erf         0               0.00%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/5/Add         Add         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/5/Mul         Mul         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/5/Mul_1       Mul         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/6/ReduceMean  ReduceMean  20,480          0.05%       1,280       0.01%       0         0.00%       1x320x8x8    1x320x1x1
/4/conv/6/Conv        Conv        5,136           0.01%       20,608      0.12%       5,136     1.15%       1x320x1x1    1x16x1x1
/4/conv/6/Sigmoid     Sigmoid     512             0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/4/conv/6/Mul         Mul         16              0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/4/conv/6/Conv_1      Conv        5,440           0.01%       23,040      0.13%       5,440     1.22%       1x16x1x1     1x320x1x1
/4/conv/6/Sigmoid_1   Sigmoid     10,240          0.03%       1,280       0.01%       0         0.00%       1x320x1x1    1x320x1x1
/4/conv/6/Mul_1       Mul         20,480          0.05%       81,920      0.46%       0         0.00%       1x320x8x8    1x320x8x8
/4/conv/7/Conv        Conv        1,314,816       3.38%       98,560      0.55%       20,544    4.61%       1x320x8x8    1x64x8x8
/4/Add                Add         4,096           0.01%       16,384      0.09%       0         0.00%       1x64x8x8     1x64x8x8
/5/Conv               Conv        2,662,400       6.84%       330,240     1.85%       41,600    9.34%       1x64x8x8     1x640x8x8
/5/Div                Div         163,840         0.42%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Erf                Erf         0               0.00%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Add                Add         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Mul                Mul         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Mul_1              Mul         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Conv_1             Conv        409,600         1.05%       189,440     1.06%       6,400     1.44%       1x640x8x8    1x640x8x8
/5/Div_1              Div         163,840         0.42%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Erf_1              Erf         0               0.00%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Add_1              Add         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Mul_2              Mul         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Mul_3              Mul         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/ReduceMean         ReduceMean  40,960          0.11%       2,560       0.01%       0         0.00%       1x640x8x8    1x640x1x1
/5/Conv_2             Conv        10,256          0.03%       41,088      0.23%       10,256    2.30%       1x640x1x1    1x16x1x1
/5/Sigmoid            Sigmoid     512             0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/5/Mul_4              Mul         16              0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/5/Conv_3             Conv        10,880          0.03%       46,080      0.26%       10,880    2.44%       1x16x1x1     1x640x1x1
/5/Sigmoid_1          Sigmoid     20,480          0.05%       2,560       0.01%       0         0.00%       1x640x1x1    1x640x1x1
/5/Mul_5              Mul         40,960          0.11%       163,840     0.92%       0         0.00%       1x640x8x8    1x640x8x8
/5/Conv_4             Conv        4,594,688       11.80%      315,840     1.77%       71,792    16.12%      1x640x8x8    1x112x8x8
/6/Conv               Conv        4,859,904       12.48%      475,776     2.66%       75,936    17.06%      1x112x8x8    1x672x8x8
/6/Div                Div         172,032         0.44%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Erf                Erf         0               0.00%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Add                Add         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Mul                Mul         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Mul_1              Mul         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Conv_1             Conv        430,080         1.10%       198,912     1.11%       6,720     1.51%       1x672x8x8    1x672x8x8
/6/Div_1              Div         172,032         0.44%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Erf_1              Erf         0               0.00%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Add_1              Add         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Mul_2              Mul         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Mul_3              Mul         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/ReduceMean         ReduceMean  43,008          0.11%       2,688       0.02%       0         0.00%       1x672x8x8    1x672x1x1
/6/Conv_2             Conv        5,384           0.01%       21,568      0.12%       5,384     1.21%       1x672x1x1    1x8x1x1
/6/Sigmoid            Sigmoid     256             0.00%       32          0.00%       0         0.00%       1x8x1x1      1x8x1x1
/6/Mul_4              Mul         8               0.00%       32          0.00%       0         0.00%       1x8x1x1      1x8x1x1
/6/Conv_3             Conv        6,048           0.02%       26,880      0.15%       6,048     1.36%       1x8x1x1      1x672x1x1
/6/Sigmoid_1          Sigmoid     21,504          0.06%       2,688       0.02%       0         0.00%       1x672x1x1    1x672x1x1
/6/Mul_5              Mul         43,008          0.11%       172,032     0.96%       0         0.00%       1x672x8x8    1x672x8x8
/6/Conv_4             Conv        4,824,064       12.39%      330,176     1.85%       75,376    16.93%      1x672x8x8    1x112x8x8
/6/Add_2              Add         7,168           0.02%       28,672      0.16%       0         0.00%       1x112x8x8    1x112x8x8
/ReduceMean           ReduceMean  7,168           0.02%       448         0.00%       0         0.00%       1x112x8x8    1x112
/classifier/Gemm      Gemm        11,300          0.03%       45,600      0.26%       11,300    2.54%       1x112        1x100
Total                 _           38,948,841      100%        17,855,540  100%        445,234   100%        _            _
